Clitic Left Dislocation,3.45,4,0.47
Cooordination DP ADJ,0.82,1,0.16
Coordination DP ADJ,0.82,1,0.16
Coordination Ellipsis,3.00,4,1.00
Focus,3.91,6,1.49
Full DP,1.82,2,0.16
Topic,4.36,6,1.45
OVS,7.82,10,3.16
SVO,10.36,14,5.05
Clitic Left Dislocation,1.82,2,0.16
Coordination DP ADJ,0.82,1,0.16
Coordination Ellipsis,1.45,2,0.67
Focus,2.36,3,0.65
Full DP,0.82,1,0.16
Topic,2.27,3,1.22
OVS,4.09,5,2.09
SVO,5.45,7,3.87
Clitic Left Dislocation,1.64,2,0.25
Cooordination DP ADJ,0.82,1,0.16
Coordination Ellipsis,1.55,2,0.47
Focus,1.55,3,1.27
Full DP,1.00,1,0.00
Topic,2.09,3,0.69
OVS,3.73,5,1.42
SVO,4.91,7,3.09
